name,location,cuisines,estimated_cost_for_two,rating
Brahmins' Thatte Idli,sanjay nagar,south indian,100.0,4.1
Calicut Restaurant,yeshwantpur,"chinese, kerala, north indian, south indian",450.0,3.9
Le Arabia,basaveshwara nagar,"mughlai, north indian",800.0,4.4
The Pastry Inn,sanjay nagar,bakery,300.0,3.5
Gowdara Hatti,malleshwaram,south indian,300.0,3.7
Firangi Bake,sanjay nagar,"italian, mexican",600.0,4.1
Behrouz Biryani,rajajinagar,biryani,650.0,4.0
The Belgian Waffle Co.,new bel road,"beverages, desserts",350.0,3.7
Roy Hotel & Restaurant,new bel road,"bengali, north indian",300.0,4.0
New Golden Emperor,yeshwantpur,"chinese, fast food, north indian",400.0,3.7
Shri Family Restaurant,rajajinagar,"chinese, north indian, seafood, south indian",400.0,3.3
Hotel Elite,yeshwantpur,"chinese, juices, north indian, south indian",550.0,3.7
Lazeez Biryani,new bel road,"chinese, hyderabadi, mughlai, north indian",400.0,4.0
Hotel Kadamba Veg,rajajinagar,"chinese, juices, north indian, south indian, street food",450.0,3.8
Chili's American Grill & Bar,malleshwaram,"american, bbq, burger, mexican, tex-mex",1400.0,4.8
The Milkshake Theory,basaveshwara nagar,"beverages, fast food",400.0,3.0
Krispy Kreme,malleshwaram,"beverages, desserts",300.0,4.1
Kanti Sweets,rajajinagar,"mithai, street food",400.0,3.8
Rishi's Paratha Plaza,sanjay nagar,north indian,250.0,3.9
The Waffles Hut,malleshwaram,desserts,400.0,3.6
Chichaba's Taj,basaveshwara nagar,"biryani, mughlai, north indian",600.0,4.1
Nesara Mullti - Cuisine Family Dining & Garden...,malleshwaram,"beverages, chinese, north indian, south indian",800.0,2.7
Eggstacy,new bel road,"chinese, continental, fast food",500.0,4.0
Maddy's Katti Cafe,rajajinagar,"beverages, fast food",400.0,3.2
Nando's,malleshwaram,"burger, portuguese, salad, wraps",1200.0,4.1
Food & Friends,rajajinagar,"fast food, street food",200.0,2.9
Sweet Truth,sanjay nagar,"bakery, desserts",500.0,3.9
Punjab Grill,malleshwaram,"mughlai, north indian",2000.0,4.9
Nammura Upachara,basaveshwara nagar,"chinese, north indian, south indian",300.0,3.6
Stories,rajajinagar,"chinese, continental, north indian",1100.0,4.6
Sagar Kabab Corner,yeshwantpur,"biryani, chinese, north indian",350.0,3.2
The Fast Food,malleshwaram,"fast food, south indian",150.0,4.0
Cupcake Bliss,malleshwaram,bakery,200.0,3.7
Hammered,new bel road,"cafe, continental, north indian",1200.0,4.4
Bhavani Vada Pav,yeshwantpur,fast food,150.0,4.0
Hotel Malgudi,rajajinagar,"biryani, south indian",400.0,3.6
Cafe Coffee Day,new bel road,"cafe, fast food",900.0,3.2
Kaifu,new bel road,"asian, chinese",700.0,4.2
Grill Biryanis,malleshwaram,"biryani, north indian",500.0,3.1
Shree Guru Sagar,basaveshwara nagar,"chinese, north indian, south indian",500.0,3.5
The Happy Vegetarian,basaveshwara nagar,"chinese, north indian, south indian",600.0,
Annappa's Naati Mane,rajajinagar,"chinese, south indian",400.0,3.5
Cake Gallery,yeshwantpur,bakery,300.0,3.6
Hotel Halli Nenapu,malleshwaram,south indian,500.0,3.4
Kool Joint,basaveshwara nagar,"fast food, ice cream, juices",200.0,3.4
Hotel Gowdru Mane,yeshwantpur,"biryani, south indian",400.0,3.1
Naati Manae,malleshwaram,"biryani, chinese, north indian, south indian",700.0,2.7
Drunken Monkey,new bel road,"beverages, fast food",500.0,4.1
Scoops N Smiles,rajajinagar,"burger, desserts, pizza, sandwich",200.0,3.3
Antarastriya,malleshwaram,"chinese, fast food, momos",200.0,3.9
Basaveshwarnagar Dosa Corner,basaveshwara nagar,south indian,200.0,3.8
Totaram's Paranthas,new bel road,north indian,300.0,3.5
Ganesh Food Joint,malleshwaram,"chinese, north indian, south indian",200.0,3.6
Chowmein,basaveshwara nagar,"biryani, chinese, momos, north indian",800.0,3.8
Asha Sweets Centre,malleshwaram,"mithai, street food",250.0,4.0
Sardarji Ka Kitchen,new bel road,north indian,150.0,3.1
Prateeksha Natural Ice Cream,new bel road,ice cream,250.0,3.2
Dambal's Veg,yeshwantpur,south indian,250.0,3.2
Ginger,sanjay nagar,"chinese, north indian",350.0,3.6
Kolkata Famous Kati Roll,basaveshwara nagar,fast food,150.0,
Tasty Munch,rajajinagar,"fast food, momos, street food",200.0,3.6
Kerala Restaurant,yeshwantpur,"biryani, kerala",150.0,3.5
1992 Chats - Space,rajajinagar,street food,200.0,3.7
Santo's,new bel road,"fast food, north indian",650.0,3.7
The Asian Curry House,malleshwaram,"burmese, japanese, thai, vietnamese",1000.0,4.5
Hotel Taj Delight,new bel road,"arabian, biryani, north indian",600.0,3.2
Slurpy Shakes,malleshwaram,beverages,300.0,
Thanco's Natural Ice Cream,yeshwantpur,"desserts, ice cream",450.0,3.8
Ibaco,rajajinagar,desserts,300.0,3.6
Burp,new bel road,"cafe, italian, mexican, pizza",800.0,4.0
Street Foods by Punjab Grill,malleshwaram,"kebab, north indian, street food",800.0,3.7
Cheesy Bites,new bel road,"chinese, fast food, italian",200.0,
Mitraa Da Pizza,rajajinagar,"fast food, pizza",250.0,
Chetty's Coffee,new bel road,south indian,200.0,4.0
The Banana Kick,new bel road,"beverages, cafe",600.0,3.3
Casamia,yeshwantpur,"andhra, kerala, south indian",400.0,3.6
Karavali Lunch Home,malleshwaram,"seafood, south indian",300.0,4.0
Ali Snacks Point,malleshwaram,"chinese, momos",150.0,3.4
Freskka,new bel road,"american, asian, continental, italian, mexican, momos",700.0,4.0
Break Hour,rajajinagar,"beverages, chinese",150.0,4.0
Pizza Stop,malleshwaram,"italian, pizza",600.0,2.9
Patiala Lassi,sanjay nagar,beverages,150.0,4.1
Raj Bhog,rajajinagar,"fast food, north indian",500.0,
Fresh Veg,new bel road,"north indian, street food",300.0,2.7
Gelato Italiano,rt nagar,"bakery, desserts, ice cream",200.0,3.4
Subway,malleshwaram,"fast food, healthy food, salad",500.0,2.4
Sreeraj Lassi Bar,rt nagar,"beverages, desserts, juices",150.0,3.8
Hatti Kaapi,malleshwaram,"south indian, street food",200.0,3.7
Smoke - The Sizzler House,new bel road,"continental, italian",800.0,4.2
Waffle Stories,malleshwaram,desserts,300.0,3.9
By 2 Coffee,malleshwaram,south indian,100.0,4.1
The Higher Taste Stores,malleshwaram,"bakery, fast food",300.0,3.8
Cakeport,rajajinagar,bakery,400.0,3.4
Frozen Bottle,new bel road,"beverages, desserts, ice cream",400.0,3.7
ZEEES,new bel road,"fast food, north indian, street food",300.0,3.6
KC Das - Sweet Sadan,malleshwaram,"mithai, street food",200.0,3.0
Biriyani Paradise,yeshwantpur,"biryani, chettinad, kerala, north indian",450.0,3.3
Stoned Monkey,new bel road,"desserts, ice cream",500.0,4.0
Alif Hotel,yeshwantpur,"chinese, mughlai, north indian",400.0,
Oyalo,malleshwaram,pizza,300.0,3.2
Sagar Samrat,new bel road,"chinese, north indian, south indian",400.0,3.7
Salaam Sigri Rolls & Kebabs,new bel road,"mughlai, rolls",300.0,3.8
Mad Over Donuts,malleshwaram,"bakery, beverages, desserts",450.0,3.9
Green Chilly,rajajinagar,"chinese, north indian",350.0,3.6
Symas,rt nagar,"beverages, fast food",200.0,3.7
Roll Over,malleshwaram,"beverages, fast food, ice cream",500.0,3.9
McDonald's,new bel road,"burger, fast food",500.0,3.9
Cafe Centralis,new bel road,cafe,600.0,2.8
Sree Ganesh Fruit Juice Centre,malleshwaram,beverages,100.0,3.6
The Street Kitchen,new bel road,"beverages, chinese, fast food, north indian",300.0,3.7
Coastal Express,malleshwaram,south indian,300.0,3.4
3G's - Gulp & Groove,malleshwaram,"chinese, continental, finger food",1100.0,4.1
Shree Guru Sagar Fast Food,rajajinagar,"chinese, north indian, south indian",300.0,3.6
Kadai,basaveshwara nagar,"chinese, north indian, seafood, south indian",450.0,3.6
Peppermill Bistro,new bel road,"cafe, continental, european, mediterranean, steak",1000.0,4.0
Dhadoom,malleshwaram,"burger, north indian, pizza, sandwich, street food",300.0,4.0
Sri Ganesh Fruit Juice Centre,rt nagar,juices,100.0,3.2
Ambur Darbar Biriyani Point,yeshwantpur,biryani,200.0,3.2
Domino's Pizza,malleshwaram,"fast food, pizza",400.0,4.0
Food Singh,sanjay nagar,north indian,500.0,
Chination,sanjay nagar,chinese,600.0,
The Biryani Culture,malleshwaram,north indian,500.0,3.2
Fish Corner,yeshwantpur,"chinese, north indian, seafood",400.0,3.7
Plated,new bel road,"cafe, continental",800.0,4.1
Khan Saheb Grills and Rolls,new bel road,fast food,400.0,3.7
Saladtimes,yeshwantpur,"fast food, healthy food",500.0,3.8
7 Plates,rt nagar,"fast food, mughlai, north indian, rolls",600.0,3.9
Karnataka Biryani Point,rajajinagar,"biryani, kebab",250.0,
Crazy Pizza,malleshwaram,"fast food, pizza",400.0,3.4
Aramane Restaurant,rajajinagar,"chinese, fast food, south indian",300.0,3.0
Halli Mane Donne Biriyani,rajajinagar,"biryani, seafood",400.0,4.1
The Big Bellyz,malleshwaram,"beverages, fast food, momos",300.0,3.9
Ootada Mane,yeshwantpur,"chinese, north indian, south indian",600.0,2.9
Upsouth,malleshwaram,south indian,300.0,4.1
Cream & Fudge,malleshwaram,"desserts, ice cream",250.0,3.3
Tastie's,basaveshwara nagar,"beverages, fast food, ice cream",150.0,3.2
Cold Station,rajajinagar,"desserts, fast food",250.0,3.8
Sethi's,sanjay nagar,"chinese, north indian",600.0,
Ragoo's Kitchen,rajajinagar,"biryani, chinese, mangalorean, north indian",350.0,3.1
Cafe Rossini,new bel road,"chinese, continental, italian",700.0,3.9
Kettle & Kegs,sanjay nagar,"beverages, tea",200.0,3.2
Namakh Store And Cafe,new bel road,"american, cafe, continental",400.0,3.7
Baskin Robbins,rajajinagar,"desserts, ice cream",250.0,2.9
Maiyas,malleshwaram,"bakery, chinese, desserts, north indian, south indian",300.0,3.9
Sweetie Celebrations Cafe,new bel road,"beverages, desserts",300.0,
Ujwal Bar & Restaurant,rt nagar,"chinese, north indian, seafood",750.0,3.8
Cafe Poetry,new bel road,"beverages, cafe, healthy food",400.0,3.7
Sha-e-Darbar,yeshwantpur,"chinese, north indian",400.0,3.7
Ember The Calabash,new bel road,"beverages, cafe, continental, italian",800.0,4.1
Jay Bhavani Vadapav,seshadripuram,"maharashtrian, street food",150.0,3.5
Singh Saab Dhaba,malleshwaram,"fast food, north indian",400.0,3.8
Surya Refreshments,malleshwaram,south indian,150.0,3.9
Sweet Chariot,basaveshwara nagar,"bakery, fast food",500.0,3.1
Karavali Deluxe,yeshwantpur,"chinese, north indian",450.0,3.6
La Heaven,malleshwaram,"bakery, desserts",400.0,3.8
Carbon Cup,new bel road,"arabian, chinese, fast food, north indian",400.0,3.5
New Sagar Fast food,yeshwantpur,"chinese, north indian, south indian",250.0,3.4
Spices The Food Joint,rajajinagar,"chinese, mangalorean, north indian",550.0,3.1
Sunaina Sapice,new bel road,"chinese, north indian, south indian",200.0,3.3
Will Way Burgers,new bel road,burger,250.0,3.6
Cafe Mandala,new bel road,cafe,600.0,3.9
Yumjar,malleshwaram,"beverages, desserts, fast food",300.0,
The Crust Factory,yeshwantpur,"bakery, cafe, desserts",400.0,3.5
Robin Brown Ice Creams,frazer town,desserts,250.0,
Food Square,malleshwaram,"chinese, rolls, street food",250.0,3.2
A2B - Adyar Ananda Bhavan,rt nagar,"chinese, fast food, north indian, south indian, street food",400.0,3.5
Rayalaseema Ruchulu,new bel road,"andhra, north indian",700.0,3.2
Mehfil Family Restaurant,malleshwaram,north indian,750.0,3.0
Mumbai Spice,malleshwaram,"chinese, north indian",400.0,3.7
New Karavali Restaurant,yeshwantpur,"mangalorean, north indian, seafood",450.0,3.3
Race Course Restaurant,rajajinagar,"chinese, north indian, south indian",450.0,3.2
NOC Cafe & Catering,new bel road,"fast food, north indian",400.0,3.2
Churn,new bel road,"desserts, ice cream",250.0,4.2
Sizzling China,malleshwaram,chinese,300.0,2.9
Nikki's,sadashiv nagar,"chinese, north indian",600.0,3.1
Chaat Lounge,yeshwantpur,"north indian, street food",300.0,3.0
B52 - Sports Bar,yeshwantpur,"american, chinese, continental, finger food",1200.0,3.5
Sai Cafe Veg,malleshwaram,fast food,250.0,3.5
Srushti Coffee,malleshwaram,south indian,300.0,3.4
Puff Cafe,new bel road,"american, cafe, italian",700.0,3.7
Kargeens,new bel road,"cafe, continental, italian, pizza",900.0,3.9
Kitty's Cafe,new bel road,fast food,300.0,3.6
Kudla Beach,rajajinagar,"chinese, north indian, seafood, south indian",400.0,3.5
Donne Biriyani Angadi Mane,new bel road,"biryani, chinese",250.0,3.8
AQNI,new bel road,"biryani, mughlai, north indian, rolls",650.0,3.6
Chaska Inn,new bel road,"arabian, chinese, north indian",300.0,
Bademiyan Kebabs,malleshwaram,"biryani, charcoal chicken, hyderabadi, kebab",600.0,3.8
Absolute Waffles,new bel road,"desserts, fast food",200.0,3.9
Cookie Man,malleshwaram,bakery,150.0,3.7
Veena Stores,malleshwaram,south indian,150.0,4.5
Hotel Durga Shree Grand,rajajinagar,"chinese, north indian, south indian, street food",200.0,3.6
Pot Biryani,new bel road,"biryani, chinese, north indian",450.0,3.8
Garden Kabab Corner,yeshwantpur,"chinese, north indian",200.0,3.4
Masale Daan,rajajinagar,north indian,350.0,
Imperial Restaurant,vasanth nagar,"biryani, chinese, north indian",800.0,3.8
California Burrito,malleshwaram,"fast food, mexican",400.0,4.2
The Juice Station,rajajinagar,"beverages, burger, continental, juices, sandwich",200.0,
New Punjabi Pure Veg Restaurant,yeshwantpur,"north indian, south indian",400.0,3.4
Paris Restaurant,yeshwantpur,"biryani, chinese, north indian",550.0,3.7
UBQ By Barbeque Nation,rajajinagar,"bbq, biryani, kebab, north indian",450.0,3.3
Shakthi Bar and Restaurant,rt nagar,"chinese, north indian, south indian",900.0,3.1
Rajdhani Thali Restaurant,malleshwaram,north indian,1000.0,4.0
Sindh Kitchen,malleshwaram,"north indian, seafood, sindhi",1100.0,4.2
Hatch,malleshwaram,"mangalorean, north indian, seafood",1200.0,4.1
Hotel Gowda's,yeshwantpur,"biryani, chinese, north indian, south indian",450.0,3.5
Samrat Family Restaurant & Bar,rt nagar,"andhra, chinese, north indian",600.0,3.2
Natural Ice Cream,malleshwaram,"beverages, ice cream",200.0,4.3
Dil Se Punjabi,rt nagar,"chinese, mughlai, north indian",550.0,3.0
Momo Shop,rt nagar,"momos, rolls, street food",200.0,4.0
Coastal Biryani Paradise,rt nagar,"biryani, chinese, north indian",500.0,3.9
Biriyani Nights,new bel road,"biryani, continental, kebab",500.0,3.2
New Chickpete Donne Biryani,yeshwantpur,biryani,300.0,3.1
Prana,new bel road,"cafe, healthy food, south indian",500.0,4.0
Kabab Palace,rajajinagar,"chinese, kebab, north indian",350.0,3.8
Andhra Vantakam,rajajinagar,"andhra, chinese, north indian, seafood",800.0,3.9
Jashn Hyderabadi Bawarchi,new bel road,"biryani, chinese, hyderabadi, north indian",650.0,2.9
Sri Sai Fast Food,new bel road,south indian,100.0,
Omleterian,new bel road,"american, continental",200.0,3.6
Donne Biriyani Angadi Mane,rajajinagar,"biryani, south indian",250.0,3.8
Bon Appetit Resto,new bel road,"chinese, north indian",300.0,3.8
Eater's Cart,rajajinagar,"chinese, continental, north indian, south indian",250.0,3.5
Sri Krishna Sweets,malleshwaram,mithai,250.0,3.7
Biryani Day,rajajinagar,"biryani, kebab",400.0,3.8
Swathi,rajajinagar,"andhra, chinese, north indian",700.0,3.8
Vande Matharam,rajajinagar,"chinese, north indian, south indian, street food",500.0,2.3
Oottupura,new bel road,"chinese, juices, kerala, north indian, rolls",350.0,2.6
The Purple Pan,rajajinagar,"chinese, north indian",600.0,4.1
Malleshwaram Holige Mane,malleshwaram,south indian,200.0,3.5
Masti Masala,rajajinagar,north indian,450.0,4.0
Banashankari Restaurant,new bel road,south indian,400.0,
Kushi Meals,rajajinagar,fast food,200.0,
Swadh Biryani Tandoori Spot,malleshwaram,"biryani, fast food",200.0,
Toast And Salad,new bel road,healthy food,300.0,3.6
Biriyani Fest,new bel road,"biryani, chinese, north indian",700.0,2.9
Donne Biryani House,malleshwaram,"andhra, biryani",300.0,3.8
BIB - Breakfast in the Box,yeshwantpur,"american, sandwich",600.0,3.8
L J Fast Food,malleshwaram,chinese,300.0,3.3
Punjab Mail,malleshwaram,"beverages, chinese, north indian",650.0,3.8
Sri Gajanana Fruit Juice Center,new bel road,"fast food, juices",150.0,
Malgudi's Donne Biriyani,rajajinagar,biryani,350.0,3.8
New Prashanth Hotel,rajajinagar,"biryani, south indian",400.0,3.3
SGS Non Veg - Gundu Pulav,malleshwaram,"biryani, fast food",400.0,3.2
Chikpet Donne Biriyani Corner,basaveshwara nagar,"biryani, kebab",400.0,3.2
Hotel Fish Land,rt nagar,"north indian, south indian",600.0,3.6
Mangalore Lunch Home,rt nagar,"chinese, mughlai, north indian, seafood, south indian",200.0,3.7
Kusum Restaurant,new bel road,"chinese, mughlai, north indian",500.0,3.0
The Donut Baker,malleshwaram,desserts,150.0,3.5
Spicy Fingers,rt nagar,"north indian, seafood, south indian",600.0,3.4
Al-Baik Kabab Corner,yeshwantpur,"biryani, kebab",350.0,3.2
Grand Sweets & Snacks,malleshwaram,"fast food, mithai",300.0,3.3
Swasthi Spice Restaurant,rajajinagar,"andhra, biryani, chinese, north indian",600.0,3.4
Beijing Bites,malleshwaram,"chinese, thai",600.0,3.7
Matsya Lunch Home,malleshwaram,mangalorean,400.0,3.7
Chung Wah,new bel road,"chinese, momos, thai, vietnamese",650.0,4.0
New Shanthi Sagar,rajajinagar,"chinese, north indian, south indian, street food",400.0,3.5
Iyer Mess,malleshwaram,south indian,150.0,4.1
Chandus Delux,malleshwaram,"chinese, north indian, seafood, south indian",600.0,3.9
Pavilion Restaurant,yeshwantpur,"chinese, continental, north indian",1000.0,4.2
Navrang Kabab Korner,rajajinagar,"biryani, chinese, kebab, mughlai, north indian",600.0,3.7
LV Venkateshwara Jolada Rotti Oota,malleshwaram,south indian,300.0,3.9
Chandrappa Hotel,yeshwantpur,"chinese, north indian, south indian",450.0,4.2
Dharwad Line Bazar Mishra Pedha,malleshwaram,mithai,150.0,3.4
South Spicy Bites,basaveshwara nagar,"chinese, north indian",500.0,3.7
Chickz N Cheez,rajajinagar,"fast food, north indian",300.0,3.4
Hotel Prashanth,rajajinagar,north indian,350.0,3.9
A1 Spice Inn,yeshwantpur,"biryani, chinese, hyderabadi, north indian, south indian",500.0,3.5
Viking,malleshwaram,"chinese, north indian",450.0,2.9
Chung's Chinese Corner,malleshwaram,"american, asian, chinese, seafood",600.0,4.1
Shree Mahalakshmi Sweets,basaveshwara nagar,"mithai, street food",100.0,3.9
Cravingz,malleshwaram,"beverages, fast food",400.0,3.8
Apsara Ice Cream,malleshwaram,"desserts, ice cream",200.0,4.0
Sunny Spice Chinese Restaurant,rajajinagar,"chinese, seafood, thai",650.0,3.3
Pavilion,yeshwantpur,"chinese, north indian",700.0,3.7
Bangalore City Flowers And Cakes,malleshwaram,bakery,200.0,
Vijayalakshmi Veg,malleshwaram,south indian,200.0,
Currylicious,malleshwaram,"kerala, mangalorean, south indian",800.0,3.1
New Kadai,malleshwaram,"chinese, north indian, seafood",700.0,3.8
New Prashanth Hotel,malleshwaram,"biryani, south indian",400.0,3.1
Kudla - Coraltree,rt nagar,"mangalorean, seafood",1200.0,3.8
Cream Factory,malleshwaram,desserts,400.0,3.4
Pure & Natural,malleshwaram,"beverages, fast food, healthy food",500.0,2.6
Samosa Singh,malleshwaram,"beverages, street food",150.0,
Lassi Zone,malleshwaram,"beverages, ice cream, juices",200.0,
Fnp Cakes 'N' More,malleshwaram,bakery,150.0,
Gajanana Juice Centre,malleshwaram,"beverages, juices",100.0,
Ghar Ka Aahar,malleshwaram,north indian,400.0,
Hare Krishna Kuteera,malleshwaram,south indian,200.0,
Punjabi Tasty Khana,malleshwaram,"biryani, chinese, north indian",450.0,
Grub by 3G's,malleshwaram,"continental, north indian",1500.0,3.3
Andhra Ruchies,new bel road,"andhra, biryani",400.0,
Nebula,malleshwaram,"chinese, italian, north indian, south indian, thai",700.0,3.3
Lakshmi Mess,malleshwaram,south indian,200.0,3.3
Mom's Rasoi,malleshwaram,"biryani, south indian",300.0,3.5
CREZZO,malleshwaram,"biryani, south indian",300.0,
Jalpaan,rajajinagar,"continental, north indian",900.0,3.9
Taiyvan's,rt nagar,"chinese, malaysian, seafood, thai",500.0,3.7
Hotel Emirates,rt nagar,"arabian, chinese, kebab, north indian",500.0,3.1
Kitchen King Naati Style,rajajinagar,south indian,500.0,3.8
Kim Lee Restaurant,rajajinagar,chinese,700.0,3.8
Pulimunchi,sadashiv nagar,"mangalorean, seafood",1000.0,4.1
Nagas,yeshwantpur,"andhra, hyderabadi, south indian",500.0,3.3
Shake The Shake,new bel road,juices,200.0,
Nammura Baduta,vasanth nagar,south indian,350.0,3.3
Four Seasons Fast Food,malleshwaram,"biryani, chinese, north indian",400.0,3.3
Hotel Girija Sagar,sadashiv nagar,south indian,200.0,3.3
Fujian Express,yeshwantpur,"chinese, momos, thai",600.0,3.3
The Orchard,sadashiv nagar,north indian,900.0,4.0
Chikpet Donne Biryani House,yeshwantpur,biryani,350.0,3.6
Basil Joint,new bel road,"beverages, fast food",300.0,3.5
Kabab Center,malleshwaram,"biryani, kebab",300.0,
Just Bake,magadi road,bakery,400.0,3.4
New Fishland,malleshwaram,"chinese, north indian, seafood, south indian",400.0,3.9
Sea Route,rajajinagar,"chinese, north indian, seafood",1100.0,4.1
Seafood Dot Grill,yeshwantpur,"mangalorean, north indian, seafood",1200.0,3.9
Satrangi,new bel road,"north indian, south indian",900.0,3.7
Kesariya,sadashiv nagar,rajasthani,1200.0,4.2
New Shetty Lunch Home,rajajinagar,"mangalorean, seafood, south indian",400.0,3.3
Prashanth Naati Corner,yelahanka,"biryani, south indian",300.0,3.5
Nandhini Deluxe,sankey road,north indian,600.0,4.0
Sea Rock,seshadripuram,"chinese, mangalorean, mughlai, north indian, seafood, south indian",1000.0,4.6
Fish Palace,rajajinagar,"chinese, mangalorean, north indian, seafood",450.0,3.0
Fit Dish Fetish,west bangalore,healthy food,500.0,3.5
Swaadishta Restaurant,sadashiv nagar,"andhra, chinese, mangalorean, north indian",750.0,2.5
Hotel Savaji's,rajajinagar,south indian,300.0,3.5
Swadisht Inn,rajajinagar,"andhra, biryani, mangalorean, north indian, south indian",700.0,3.5
The Park East 01,race course road,"chinese, north indian",750.0,3.8
Maa Ka Dulaar,seshadripuram,"desserts, north indian",250.0,
Bajji Corner,seshadripuram,fast food,150.0,
RR Dum Biryani,basaveshwara nagar,"biryani, kebab",300.0,
Indian's Biriyani Point,rajajinagar,"biryani, chinese",200.0,3.3
Pakwan,sadashiv nagar,"chinese, italian, north indian",800.0,4.1
Kitchen Katta,sanjay nagar,maharashtrian,300.0,4.1
Sbarro,malleshwaram,pizza,500.0,2.7
Nomadic Tandoor,new bel road,"cafe, chinese, continental, north indian",700.0,3.7
Udupi Garden,yeshwantpur,"chinese, north indian, south indian, street food",300.0,3.0
Daryaganj Chowk,sanjay nagar,"fast food, north indian",400.0,3.1
Hotel Karavali Beach,seshadripuram,"chinese, mangalorean, seafood",500.0,3.5
Cafe Lassi Lab,new bel road,"beverages, fast food",300.0,3.3
Rotti Mane,new bel road,south indian,200.0,
Zu's Doner Kebaps,rt nagar,"biryani, chinese, fast food, turkish",350.0,3.7
Ministry of Burger,sanjay nagar,continental,500.0,
Kolkata Famous Kati Rolls,sadashiv nagar,"rolls, street food",200.0,
1522 - The Pub,malleshwaram,"chinese, continental, north indian",1400.0,4.2
Al-Taj Restaurant,rajajinagar,"chinese, north indian, south indian",600.0,3.4
Rolls Kitchen,rajajinagar,"fast food, rolls",250.0,3.8
Northwind,seshadripuram,"biryani, chinese, mangalorean, north indian",650.0,3.9
Roast 'N' Frost,rajajinagar,"desserts, fast food",200.0,3.7
Atithi,rajajinagar,north indian,750.0,3.7
Biryani Treat,rajajinagar,biryani,400.0,
Goli Vada Pav No. 1,rajajinagar,street food,200.0,3.6
The Rasoi,seshadripuram,"chinese, hyderabadi, north indian",650.0,3.7
The Chocolate Mansion,sadashiv nagar,desserts,250.0,3.4
Hotel Malabar Palace,seshadripuram,"biryani, chinese, kebab, kerala, north indian",350.0,
New Shanthi Sagar,sadashiv nagar,"beverages, chinese, north indian, south indian",550.0,2.7
Altaj Restaurant,rajajinagar,"chinese, north indian",700.0,3.3
Udupa Fast Food,rajajinagar,south indian,400.0,3.3
Sri Durga Grand,rajajinagar,"chinese, south indian",300.0,3.3
Organic,rajajinagar,"beverages, desserts",300.0,
Buttercup Bakes,rajajinagar,"bakery, desserts",500.0,3.6
Gowdru Mane Baduta,rajajinagar,"chinese, south indian",300.0,
Crusty Bakers,seshadripuram,"bakery, desserts",350.0,
Goodness! Beverages,rajajinagar,beverages,250.0,
Lassi n Chats,rajajinagar,"juices, street food",150.0,
Grilled Fish,rajajinagar,"chinese, hyderabadi, seafood",400.0,
Cool Palace,rajajinagar,"beverages, fast food",100.0,
Banashankari Biriyani,rajajinagar,"biryani, south indian",300.0,
Mumbai Spice,seshadripuram,"north indian, street food",150.0,
RK Hotel,rajajinagar,"biryani, south indian",300.0,
La Mirch,rajajinagar,"kashmiri, north indian",400.0,
Yumms,majestic,mithai,250.0,
Chocolate Philosophy,sadashiv nagar,desserts,500.0,
S.S Naati Style Hotel,rajajinagar,"biryani, south indian",300.0,
Royal Biriyani Spot,rajajinagar,"biryani, south indian",200.0,
Biryani Food Corner,yeshwantpur,"biryani, chinese, kebab, mughlai, north indian",400.0,
SnacksGuru,basaveshwara nagar,fast food,250.0,
Northern Flavour,rajajinagar,north indian,300.0,
Manjunatha Condiments,rajajinagar,"fast food, south indian",200.0,
Sweetypie,rajajinagar,bakery,300.0,
Navab's,new bel road,"chinese, north indian",600.0,
Melting Melodies,malleshwaram,"bakery, desserts",250.0,3.3
Tuckinto,yeshwantpur,cafe,400.0,3.8
Wow Sikkim Momo's,new bel road,"chinese, north indian",300.0,3.5
All Shook Up!,rajajinagar,"beverages, desserts",300.0,3.6
The Duke Of Juices,yeshwantpur,beverages,200.0,3.3
Food N Joyy,rt nagar,"chinese, fast food, street food",300.0,3.2
New Bombay Vada Pav,rajajinagar,fast food,150.0,3.4
Chawla's 2 Online.com,sanjay nagar,north indian,800.0,
Delhi Food Factory,sanjay nagar,north indian,500.0,
Mexican Taste,new bel road,"burger, fast food, rolls, salad",200.0,3.3
Juglee,new bel road,"beverages, fast food, sandwich",150.0,
Chaai Resto,new bel road,"beverages, fast food, tea",250.0,
Mojo Pizza - 2X Toppings,rajajinagar,pizza,600.0,4.1
Amma's Pastries,malleshwaram,"bakery, desserts",400.0,4.2
Frozen Coast,malleshwaram,"desserts, ice cream",250.0,3.9
Bun World,malleshwaram,"bakery, fast food",250.0,3.9
Kulfi Story,malleshwaram,desserts,100.0,
Kanti Sweets,malleshwaram,"mithai, street food",400.0,3.9
Sreeraj Lassi Bar,malleshwaram,"beverages, desserts, juices",150.0,3.7
Prateeksha Natural Ice cream,malleshwaram,ice cream,250.0,
Sri Venkateshwara Sweetmeat Stall,malleshwaram,"mithai, street food",300.0,3.8
Keventers,malleshwaram,"beverages, desserts, ice cream",400.0,3.7
Mr. Gola,malleshwaram,desserts,100.0,3.7
Froststicks,malleshwaram,"desserts, ice cream",150.0,3.8
Baskin Robbins,malleshwaram,"desserts, ice cream",250.0,3.3
Polar Bear,malleshwaram,"beverages, desserts, ice cream, sandwich",400.0,4.0
Amrith Ice Cream,malleshwaram,ice cream,100.0,4.1
Cake Paradise,malleshwaram,bakery,300.0,
Hoai Ice Cafe,malleshwaram,desserts,150.0,3.5
Oh So Stoned!,malleshwaram,"beverages, desserts",250.0,4.1
